layer, H, W, C, R, S, K, padding, stride, conv?, N, P, Q
'conv1',32,32,3,3,3,64,1,1,1,1024,32,32
'layer1.0.conv1',32,32,64,1,1,64,1,1,1,1024,16,16
'layer1.0.conv2',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.0.conv3',32,32,64,1,1,256,1,1,1,1024,16,16
'layer1.0.shortcut.0',32,32,64,1,1,256,1,1,1,1024,16,16
'layer1.1.conv1',32,32,256,1,1,64,1,1,1,1024,16,16
'layer1.1.conv2',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.1.conv3',32,32,64,1,1,256,1,1,1,1024,16,16
'layer1.2.conv1',32,32,256,1,1,64,1,1,1,1024,16,16
'layer1.2.conv2',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.2.conv3',32,32,64,1,1,256,1,1,1,1024,16,16
'layer2.0.conv1',32,32,256,1,1,128,1,1,1,1024,16,16
'layer2.0.conv2',32,32,128,3,3,128,1,2,1,1024,16,16
'layer2.0.conv3',16,16,128,1,1,512,1,1,1,1024,8,8
'layer2.0.shortcut.0',32,32,256,1,1,512,1,2,1,1024,16,16
'layer2.1.conv1',16,16,512,1,1,128,1,1,1,1024,8,8
'layer2.1.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.1.conv3',16,16,128,1,1,512,1,1,1,1024,8,8
'layer2.2.conv1',16,16,512,1,1,128,1,1,1,1024,8,8
'layer2.2.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.2.conv3',16,16,128,1,1,512,1,1,1,1024,8,8
'layer2.3.conv1',16,16,512,1,1,128,1,1,1,1024,8,8
'layer2.3.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.3.conv3',16,16,128,1,1,512,1,1,1,1024,8,8
'layer2.4.conv1',16,16,512,1,1,128,1,1,1,1024,8,8
'layer2.4.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.4.conv3',16,16,128,1,1,512,1,1,1,1024,8,8
'layer2.5.conv1',16,16,512,1,1,128,1,1,1,1024,8,8
'layer2.5.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.5.conv3',16,16,128,1,1,512,1,1,1,1024,8,8
'layer2.6.conv1',16,16,512,1,1,128,1,1,1,1024,8,8
'layer2.6.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.6.conv3',16,16,128,1,1,512,1,1,1,1024,8,8
'layer2.7.conv1',16,16,512,1,1,128,1,1,1,1024,8,8
'layer2.7.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.7.conv3',16,16,128,1,1,512,1,1,1,1024,8,8
'layer3.0.conv1',16,16,512,1,1,256,1,1,1,1024,8,8
'layer3.0.conv2',16,16,256,3,3,256,1,2,1,1024,8,8
'layer3.0.conv3',8,8,256,1,1,1024,1,1,1,1024,4,4
'layer3.0.shortcut.0',16,16,512,1,1,1024,1,2,1,1024,8,8
'layer3.1.conv1',8,8,1024,1,1,256,1,1,1,1024,4,4
'layer3.1.conv2',8,8,256,3,3,256,1,1,1,1024,8,8
'layer3.1.conv3',8,8,256,1,1,1024,1,1,1,1024,4,4
'layer3.2.conv1',8,8,1024,1,1,256,1,1,1,1024,4,4
'layer3.2.conv2',8,8,256,3,3,256,1,1,1,1024,8,8
'layer3.2.conv3',8,8,256,1,1,1024,1,1,1,1024,4,4
